"lineage","country","year_first","year_last","n_seqs","parent"
"Cosmopolitan_K1","Tanzania","2021","2022",10,"Cosmopolitan_A1.2.1"
"Cosmopolitan_J1.1.1","Tanzania","2019","2021",6,"Cosmopolitan_J1.1"
"Cosmopolitan_J1.1","c(""Kenya"", ""Tanzania"")","2021","2022",2,"Cosmopolitan_J1"
"Cosmopolitan_J1","c(""Kenya"", ""Tanzania"")","2021","2021",5,"Cosmopolitan_I1.1.1"
"Cosmopolitan_I1.1.1","Kenya","2018","2021",6,"Cosmopolitan_I1.1"
"Cosmopolitan_I1.1","Kenya","2019","2019",1,"Cosmopolitan_I1"
"Cosmopolitan_I1","c(""Kenya"", ""Tanzania"")",NA,NA,0,"Cosmopolitan_A1.2.2"
"Cosmopolitan AF1b_D1","Tanzania","2020","2022",7,"Cosmopolitan AF1b_B1.2.1"
"Cosmopolitan AF1b_B1.2.1","Tanzania",NA,NA,0,"Cosmopolitan AF1b_B1.2"
"Cosmopolitan AF1b_B1.1.2","Tanzania","2018","2022",13,"Cosmopolitan AF1b_B1.1"
"Cosmopolitan AF1a_D1","Kenya","2021","2021",13,"Cosmopolitan AF1a_C1.1.1"
"Cosmopolitan AF1a_C1.1.1","Kenya","2021","2022",16,"Cosmopolitan AF1a_C1.1"
"Cosmopolitan AF1a_C1.1","Kenya","2021","2022",5,"Cosmopolitan AF1a_C1"
"Cosmopolitan AF1a_C1","Kenya","2021","2022",6,"Cosmopolitan AF1a_A1.1.1"
"Cosmopolitan AF1a_A1.1.1","Kenya","2013","2019",4,"Cosmopolitan AF1a_A1.1"
